дата,смена,час,тип_данных,значение,агрегат
2026-01-02,1,22,производительность,33.0,мельница_4
2026-01-02,1,22,производительность,10.765,мельница_5
2026-01-02,1,22,производительность,83.765,всего
2026-01-02,1,23,производительность,39.0,мельница_1
2026-01-02,1,23,производительность,0.0,мельница_2
2026-01-02,1,23,производительность,0.0,мельница_3
2026-01-02,1,23,производительность,33.0,мельница_4
2026-01-02,1,23,производительность,10.928,мельница_5
2026-01-02,1,23,производительность,82.928,всего
2026-01-02,1,24,плотность,66.0,мельница_1
2026-01-02,1,24,плотность,58.0,мельница_2
2026-01-02,1,24,плотность,69.0,мельница_4
2026-01-02,1,24,плотность,62.0,мельница_5
2026-01-02,1,24,слив_гидроциклон,45.0,ГЦ_1ст
2026-01-02,1,24,слив_гидроциклон,31.0,ГЦ_2ст
2026-01-02,1,24,классификатор,55.0,классификатор_1
2026-01-02,1,24,классификатор,51.0,классификатор_5
2026-01-02,1,24,ситовой_анализ,52.0,ГЦ_1ст
2026-01-02,1,24,ситовой_анализ,72.0,ГЦ_2ст
2026-01-02,1,24,производительность,41.1,мельница_1
2026-01-02,1,24,производительность,0.0,мельница_2
2026-01-02,1,24,производительность,0.0,мельница_3
2026-01-02,1,24,производительность,34.0,мельница_4
2026-01-02,1,24,производительность,11.545,мельница_5
2026-01-02,1,24,производительность,86.645,всего
2026-01-02,1,24,выпуск_мкр,1.0,МКР
2026-01-02,1,1,производительность,41.6,мельница_1
2026-01-02,1,1,производительность,0.0,мельница_2
2026-01-02,1,1,производительность,0.0,мельница_3
2026-01-02,1,1,производительность,34.0,мельница_4
2026-01-02,1,1,производительность,10.427,мельница_5
2026-01-02,1,1,производительность,86.02699999999999,всего
2026-01-02,1,1,выпуск_мкр,1.0,МКР
2026-01-02,1,2,производительность,41.0,мельница_1
2026-01-02,1,2,производительность,0.0,мельница_2
2026-01-02,1,2,производительность,0.0,мельница_3
2026-01-02,1,2,производительность,33.0,мельница_4
2026-01-02,1,2,производительность,11.382,мельница_5
2026-01-02,1,2,производительность,85.382,всего
2026-01-02,1,3,производительность,40.8,мельница_1
2026-01-02,1,3,производительность,0.0,мельница_2
2026-01-02,1,3,производительность,0.0,мельница_3
2026-01-02,1,3,производительность,33.0,мельница_4
2026-01-02,1,3,производительность,11.854,мельница_5
2026-01-02,1,3,производительность,85.654,всего
2026-01-02,1,3,выпуск_мкр,2.0,МКР
2026-01-02,1,4,производительность,40.9,мельница_1
2026-01-02,1,4,производительность,0.0,мельница_2
2026-01-02,1,4,производительность,0.0,мельница_3
2026-01-02,1,4,производительность,32.0,мельница_4
2026-01-02,1,4,производительность,12.003,мельница_5
2026-01-02,1,4,производительность,84.903,всего
2026-01-02,1,5,плотность,69.0,мельница_1
2026-01-02,1,5,плотность,61.0,мельница_2
2026-01-02,1,5,плотность,68.0,мельница_4
2026-01-02,1,5,плотность,68.0,мельница_5
2026-01-02,1,5,слив_гидроциклон,45.0,ГЦ_1ст
2026-01-02,1,5,слив_гидроциклон,33.0,ГЦ_2ст
2026-01-02,1,5,классификатор,58.0,классификатор_1
2026-01-02,1,5,классификатор,46.0,классификатор_5
2026-01-02,1,5,ситовой_анализ,50.0,ГЦ_1ст
2026-01-02,1,5,ситовой_анализ,73.0,ГЦ_2ст
2026-01-02,1,5,производительность,40.0,мельница_1
2026-01-02,1,5,производительность,0.0,мельница_2
2026-01-02,1,5,производительность,0.0,мельница_3
2026-01-02,1,5,производительность,34.0,мельница_4
2026-01-02,1,5,производительность,11.773,мельница_5
2026-01-02,1,5,производительность,85.773,всего
2026-01-02,1,5,выпуск_мкр,1.0,МКР
2026-01-02,1,6,производительность,40.3,мельница_1
2026-01-02,1,6,производительность,0.0,мельница_2
2026-01-02,1,6,производительность,0.0,мельница_3
2026-01-02,1,6,производительность,34.0,мельница_4
2026-01-02,1,6,производительность,12.99,мельница_5
2026-01-02,1,6,производительность,87.28999999999999,всего
2026-01-02,1,7,производительность,39.3,мельница_1
2026-01-02,1,7,производительность,0.0,мельница_2
2026-01-02,1,7,производительность,0.0,мельница_3
2026-01-02,1,7,производительность,33.0,мельница_4
2026-01-02,1,7,производительность,11.992,мельница_5
2026-01-02,1,7,производительность,84.292,всего
2026-01-02,1,7,выпуск_мкр,2.0,МКР
2026-01-02,1,8,производительность,39.8,мельница_1
2026-01-02,1,8,производительность,0.0,мельница_2
2026-01-02,1,8,производительность,0.0,мельница_3
2026-01-02,1,8,производительность,35.0,мельница_4
2026-01-02,1,8,производительность,11.159,мельница_5
2026-01-02,1,8,производительность,85.959,всего
2026-01-02,1,8,выпуск_мкр,1.0,МКР
2026-01-02,1,среднее,плотность_ср,67.5,мельница_1
2026-01-02,1,среднее,плотность_ср,59.5,мельница_2
2026-01-02,1,среднее,плотность_ср,68.5,мельница_4
2026-01-02,1,среднее,плотность_ср,65.0,мельница_5
2026-01-02,1,среднее,слив_гидроциклон_ср,45.0,ГЦ_1ст
2026-01-02,1,среднее,слив_гидроциклон_ср,32.0,ГЦ_2ст
2026-01-02,1,среднее,производительность_итого,1017.086,всего
2026-01-02,1,,счетчик_начало,21.0,мельница_1
2026-01-02,1,,счетчик_конец,511132.9,мельница_1
2026-01-02,1,,переработка,511610.7,мельница_1
2026-01-02,1,,счетчик_начало,22.0,мельница_2
2026-01-02,1,,счетчик_конец,810050.111,мельница_2
2026-01-02,1,,переработка,810050.111,мельница_2
2026-01-02,1,,счетчик_начало,23.0,мельница_3
2026-01-02,1,,счетчик_конец,502926.0,мельница_3
2026-01-02,1,,переработка,503328.0,мельница_3
2026-01-02,1,,счетчик_начало,24.0,мельница_4
2026-01-02,1,,счетчик_конец,237.889,мельница_4
2026-01-02,1,,переработка,375.175,мельница_4
2026-01-02,1,,счетчик_начало,1.0,мельница_5
2026-01-02,1,,счетчик_начало,2.0,мельница_6
2026-01-02,1,,загрузка_шаров_диаметр,60.0,мельница_1
2026-01-02,1,,загрузка_шаров_вес,0.3,мельница_1
2026-01-02,1,,загрузка_шаров_примечание,новые,мельница_1
2026-01-02,1,,загрузка_шаров_диаметр,30.0,мельница_2
2026-01-02,1,,загрузка_шаров_вес,0.2,мельница_2
2026-01-02,1,,загрузка_шаров_примечание,новые,мельница_2
2026-01-02,1,,загрузка_шаров_диаметр,60.0,мельница_4
2026-01-02,1,,загрузка_шаров_вес,0.15,мельница_4
2026-01-02,1,,загрузка_шаров_примечание,новые,мельница_4
2026-01-02,1,,загрузка_шаров_диаметр,60.0,мельница_5
2026-01-02,1,,загрузка_шаров_вес,0.15,мельница_5
2026-01-02,1,,загрузка_шаров_примечание,новые,мельница_5
2026-01-02,1,,простой_начало,20:00:00,мельница_3
2026-01-02,1,,простой_конец,08:00:00,мельница_3
2026-01-02,1,,простой_длительность,12часов,мельница_3
2026-01-02,1,,простой_причина,МШР стоит - ППР.,мельница_3
2026-01-02,1,,мкр_остаток_начало,91.0,МКР
2026-01-02,1,,мкр_выпуск,8.0,МКР
2026-01-02,1,,мкр_остаток_конец,99.0,МКР
2026-01-02,1,21:00,ph,9.5,ГЦ_1
2026-01-02,1,23:00,ph,9.11,ГЦ_1
2026-01-02,1,03:00,ph,9.59,ГЦ_1
2026-01-02,1,05:00,ph,9.27,ГЦ_1
2026-01-02,1,07:00,ph,10.0,ГЦ_1
2026-01-02,1,среднее,ph_ср,9.556666666666667,ГЦ_1
2026-01-02,2,9,производительность,41.7,мельница_1
2026-01-02,2,9,производительность,0.0,мельница_2
2026-01-02,2,9,производительность,0.0,мельница_3
2026-01-02,2,9,производительность,35.0,мельница_4
2026-01-02,2,9,производительность,10.501,мельница_5
2026-01-02,2,9,производительность,87.20100000000001,всего
2026-01-02,2,10,производительность,31.9,мельница_1
2026-01-02,2,10,производительность,0.0,мельница_2
2026-01-02,2,10,производительность,0.0,мельница_3
2026-01-02,2,10,производительность,35.0,мельница_4
2026-01-02,2,10,производительность,11.456,мельница_5
2026-01-02,2,10,производительность,78.35600000000001,всего
2026-01-02,2,10,выпуск_мкр,2.0,МКР
2026-01-02,2,11,плотность,67.0,мельница_1
2026-01-02,2,11,плотность,58.0,мельница_2
2026-01-02,2,11,плотность,62.0,мельница_4
2026-01-02,2,11,плотность,65.0,мельница_5
2026-01-02,2,11,слив_гидроциклон,46.0,ГЦ_1ст
2026-01-02,2,11,слив_гидроциклон,32.0,ГЦ_2ст
2026-01-02,2,11,сгуститель,48.0,сгуститель_1
2026-01-02,2,11,сгуститель,8.0,сгуститель_2
2026-01-02,2,11,классификатор,55.0,классификатор_1
2026-01-02,2,11,классификатор,47.0,классификатор_5
2026-01-02,2,11,ситовой_анализ,49.0,ГЦ_1ст
2026-01-02,2,11,ситовой_анализ,71.0,ГЦ_2ст
2026-01-02,2,11,производительность,42.9,мельница_1
2026-01-02,2,11,производительность,0.0,мельница_2
2026-01-02,2,11,производительность,0.0,мельница_3
2026-01-02,2,11,производительность,34.0,мельница_4
2026-01-02,2,11,производительность,11.43,мельница_5
2026-01-02,2,11,производительность,88.33000000000001,всего
2026-01-02,2,11,выпуск_мкр,1.0,МКР
2026-01-02,2,12,производительность,35.0,мельница_1
2026-01-02,2,12,производительность,0.0,мельница_2
2026-01-02,2,12,производительность,0.0,мельница_3
2026-01-02,2,12,производительность,35.0,мельница_4
2026-01-02,2,12,производительность,10.862,мельница_5
2026-01-02,2,12,производительность,80.862,всего
2026-01-02,2,12,выпуск_мкр,1.0,МКР
2026-01-02,2,13,производительность,38.9,мельница_1
2026-01-02,2,13,производительность,0.0,мельница_2
2026-01-02,2,13,производительность,0.0,мельница_3
2026-01-02,2,13,производительность,34.0,мельница_4
2026-01-02,2,13,производительность,9.499,мельница_5
2026-01-02,2,13,производительность,82.399,всего
2026-01-02,2,14,производительность,44.4,мельница_1
2026-01-02,2,14,производительность,0.0,мельница_2
2026-01-02,2,14,производительность,0.0,мельница_3
2026-01-02,2,14,производительность,34.0,мельница_4
2026-01-02,2,14,производительность,11.493,мельница_5
2026-01-02,2,14,производительность,89.893,всего
2026-01-02,2,14,выпуск_мкр,1.0,МКР
2026-01-02,2,15,производительность,42.5,мельница_1
2026-01-02,2,15,производительность,0.0,мельница_2
2026-01-02,2,15,производительность,0.0,мельница_3
2026-01-02,2,15,производительность,35.0,мельница_4
2026-01-02,2,15,производительность,12.048,мельница_5
2026-01-02,2,15,производительность,89.548,всего
2026-01-02,2,15,выпуск_мкр,1.0,МКР
2026-01-02,2,16,производительность,34.9,мельница_1
2026-01-02,2,16,производительность,0.0,мельница_2
2026-01-02,2,16,производительность,0.0,мельница_3
2026-01-02,2,16,производительность,34.0,мельница_4
2026-01-02,2,16,производительность,11.429,мельница_5
2026-01-02,2,16,производительность,80.32900000000001,всего
2026-01-02,2,16,выпуск_мкр,1.0,МКР
2026-01-02,2,17,плотность,69.0,мельница_1
2026-01-02,2,17,плотность,57.0,мельница_2
